IP地址	端口	TLS	数据中心	地区	城市	网络延迟	测速 MB/s
47.237.14.220	2086	FALSE	SIN	Asia Pacific	Singapore	243 ms	5571 kB/s
47.242.234.127	2095	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	5567 kB/s
47.245.102.52	2095	FALSE	SIN	Asia Pacific	Singapore	237 ms	5559 kB/s
47.236.80.110	2052	FALSE	SIN	Asia Pacific	Singapore	226 ms	5552 kB/s
8.210.156.6	80	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	5546 kB/s
47.237.0.31	2086	FALSE	SIN	Asia Pacific	Singapore	242 ms	5535 kB/s
47.242.171.94	2082	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	5525 kB/s
47.237.82.15	2095	FALSE	SIN	Asia Pacific	Singapore	216 ms	5523 kB/s
47.236.168.17	2095	FALSE	SIN	Asia Pacific	Singapore	225 ms	5506 kB/s
47.237.86.185	8880	FALSE	SIN	Asia Pacific	Singapore	214 ms	5504 kB/s
47.236.172.95	2082	FALSE	SIN	Asia Pacific	Singapore	245 ms	5491 kB/s
8.218.65.237	2082	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	5475 kB/s
47.236.170.54	2086	FALSE	SIN	Asia Pacific	Singapore	234 ms	5472 kB/s
47.236.172.95	2086	FALSE	SIN	Asia Pacific	Singapore	215 ms	5465 kB/s
47.236.170.54	8880	FALSE	SIN	Asia Pacific	Singapore	224 ms	5448 kB/s
47.236.202.91	2086	FALSE	SIN	Asia Pacific	Singapore	227 ms	5448 kB/s
47.237.100.206	8880	FALSE	SIN	Asia Pacific	Singapore	236 ms	5432 kB/s
47.237.95.140	2086	FALSE	SIN	Asia Pacific	Singapore	215 ms	5428 kB/s
47.236.144.208	8080	FALSE	SIN	Asia Pacific	Singapore	212 ms	5414 kB/s
47.236.80.110	8080	FALSE	SIN	Asia Pacific	Singapore	209 ms	5409 kB/s
47.236.169.164	80	FALSE	SIN	Asia Pacific	Singapore	208 ms	5408 kB/s
47.236.144.196	80	FALSE	SIN	Asia Pacific	Singapore	243 ms	5380 kB/s
47.236.87.246	2086	FALSE	SIN	Asia Pacific	Singapore	242 ms	5378 kB/s
47.236.104.11	2095	FALSE	SIN	Asia Pacific	Singapore	220 ms	5372 kB/s
8.217.232.246	2095	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	5365 kB/s
47.237.95.13	2082	FALSE	SIN	Asia Pacific	Singapore	220 ms	5339 kB/s
47.237.82.15	2052	FALSE	SIN	Asia Pacific	Singapore	219 ms	5335 kB/s
47.238.6.102	2095	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	5334 kB/s
47.236.237.90	2052	FALSE	SIN	Asia Pacific	Singapore	223 ms	5329 kB/s
47.236.237.90	2086	FALSE	SIN	Asia Pacific	Singapore	219 ms	5318 kB/s
47.236.170.54	8080	FALSE	SIN	Asia Pacific	Singapore	219 ms	5314 kB/s
47.236.5.223	80	FALSE	SIN	Asia Pacific	Singapore	210 ms	5314 kB/s
47.236.121.23	80	FALSE	SIN	Asia Pacific	Singapore	229 ms	5314 kB/s
47.236.205.188	2095	FALSE	SIN	Asia Pacific	Singapore	223 ms	5311 kB/s
47.236.144.208	8880	FALSE	SIN	Asia Pacific	Singapore	220 ms	5310 kB/s
47.237.83.20	2052	FALSE	SIN	Asia Pacific	Singapore	233 ms	5302 kB/s
47.237.92.26	8880	FALSE	SIN	Asia Pacific	Singapore	212 ms	5302 kB/s
47.243.203.119	8880	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	5302 kB/s
47.236.117.48	2086	FALSE	SIN	Asia Pacific	Singapore	217 ms	5293 kB/s
47.237.0.31	2082	FALSE	SIN	Asia Pacific	Singapore	223 ms	5271 kB/s
47.237.14.220	2052	FALSE	SIN	Asia Pacific	Singapore	219 ms	5269 kB/s
47.236.144.156	80	FALSE	SIN	Asia Pacific	Singapore	211 ms	5263 kB/s
47.236.168.17	2052	FALSE	SIN	Asia Pacific	Singapore	206 ms	5257 kB/s
47.237.14.220	8880	FALSE	SIN	Asia Pacific	Singapore	217 ms	5255 kB/s
47.236.165.25	80	FALSE	SIN	Asia Pacific	Singapore	212 ms	5248 kB/s
8.217.85.14	80	FALSE	HKG	Asia Pacific	Hong Kong	85 ms	5246 kB/s
47.237.81.112	80	FALSE	SIN	Asia Pacific	Singapore	239 ms	5222 kB/s
47.236.118.216	2086	FALSE	SIN	Asia Pacific	Singapore	224 ms	5198 kB/s
8.218.211.17	80	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	5196 kB/s
47.236.169.164	2082	FALSE	SIN	Asia Pacific	Singapore	212 ms	5192 kB/s
47.236.172.95	2052	FALSE	SIN	Asia Pacific	Singapore	218 ms	5178 kB/s
47.237.11.182	8880	FALSE	SIN	Asia Pacific	Singapore	208 ms	5176 kB/s
47.237.10.1	2086	FALSE	SIN	Asia Pacific	Singapore	217 ms	5174 kB/s
47.236.17.193	2082	FALSE	SIN	Asia Pacific	Singapore	214 ms	5174 kB/s
47.236.121.23	2082	FALSE	SIN	Asia Pacific	Singapore	238 ms	5157 kB/s
8.217.91.121	8080	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	5155 kB/s
47.236.75.113	2095	FALSE	SIN	Asia Pacific	Singapore	241 ms	5154 kB/s
47.236.123.133	2086	FALSE	SIN	Asia Pacific	Singapore	222 ms	5153 kB/s
47.236.117.48	2082	FALSE	SIN	Asia Pacific	Singapore	229 ms	5146 kB/s
47.237.0.31	8080	FALSE	SIN	Asia Pacific	Singapore	228 ms	5138 kB/s
47.237.92.26	80	FALSE	SIN	Asia Pacific	Singapore	232 ms	5137 kB/s
47.237.0.31	80	FALSE	SIN	Asia Pacific	Singapore	211 ms	5135 kB/s
47.242.54.157	80	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	5113 kB/s
47.242.79.71	2086	FALSE	HKG	Asia Pacific	Hong Kong	74 ms	5093 kB/s
47.76.159.146	2086	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	5086 kB/s
47.237.100.206	8080	FALSE	SIN	Asia Pacific	Singapore	225 ms	5085 kB/s
47.237.92.26	2086	FALSE	SIN	Asia Pacific	Singapore	238 ms	5085 kB/s
47.236.123.133	2095	FALSE	SIN	Asia Pacific	Singapore	264 ms	5078 kB/s
